Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,Relative Strength Short Term,Short Term Percentile,10D_RS,10D_RS_Percentile,1M_RS,1M_RS_Percentile,3M_RS,3M_RS_Percentile,6M_RS,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,Volume,VolumeVsAvgVol30,MA10,PriceVsMA10Pct,MA21,PriceVsMA21Pct,MA50,PriceVsMA50Pct,ATR14Pct,LoDDistATR,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
2959,PSNY,Consumer Cyclical,Auto Manufacturers,NASDAQ,89.48,49.18,110.27,89.49,88.26,39.98,68.42,19.5,70.16,20.49,44.44,6.89,21.6,1999443716.907425,91507720.0,23.54,-49.3,68300,0.71,21.19,1.93,19.64,9.98,18.92,14.16,6.69,78.93,116870,96470,109742,0.454
2960,ONBPP,Financial Services,Banks - Regional,NASDAQ,89.48,49.18,94.5,53.84,91.18,48.49,91.97,48.48,94.64,48.06,93.9,56.96,24.5,,,0.36,-4.3,17000,0.61,24.7,-0.81,24.65,-0.61,24.59,-0.37,0.71,51.86,20420,27706,19756,0.462
2961,OACC,Financial Services,Shell Companies,NASDAQ,89.48,49.18,95.91,63.42,88.83,41.56,90.71,45.73,93.8,46.38,93.96,57.16,10.7,261560659.9598236,24582768.0,0.0014,-0.34,0,0.0,10.65,0.47,10.65,0.47,10.65,0.47,0.25,0.0,670,10096,11996,
2962,GEL,Energy,Oil & Gas Midstream,NYSE,89.47,49.14,91.97,41.8,94.34,55.33,98.7,61.47,113.69,74.47,97.96,66.04,16.4,1970450895.306572,122464318.0,0.052800003,-12.02,191100,0.64,16.14,1.61,16.56,-0.97,17.07,-3.93,2.95,82.72,340330,297613,300978,0.121
2963,FERA,Financial Services,Shell Companies,NASDAQ,89.46,49.11,95.75,61.91,90.06,45.05,90.26,44.14,92.09,41.72,94.48,58.8,10.38,323922659.3854418,31266667.0,0.0,-1.14,58500,0.43,10.37,0.1,10.36,0.19,10.33,0.48,0.11,183.01,39530,136673,95950,
2964,ANSCU,Financial Services,Shell Companies,NASDAQ,89.46,49.11,94.62,54.36,89.67,43.77,92.75,50.17,93.61,46.0,92.35,52.16,11.23,,,0.3,-5.63,0,0.0,11.13,0.9,11.31,-0.71,11.29,-0.53,0.32,0.0,30,30,32,
2965,KOYN,Financial Services,Shell Companies,NASDAQ,89.45,49.06,95.58,60.13,89.72,43.92,89.86,42.85,91.92,41.14,91.2,49.16,10.11,319366116.428483,31557917.0,0.05,-0.1,15300,2.25,10.12,-0.1,10.11,0.0,10.07,0.4,0.07,0.0,4020,6793,12032,
2966,LUD,Basic Materials,Steel,NYSE ARCA,89.45,49.06,88.74,31.52,91.85,49.78,60.89,14.58,101.12,59.88,155.14,92.65,5.31,134324801.73110962,22690000.0,0.0111,-78.06,530800,5.63,5.84,-9.08,5.82,-8.76,4.99,6.41,12.36,195.69,102320,94230,145608,-0.313
2967,ESNT,Financial Services,Insurance - Specialty,NYSE,89.45,49.06,95.41,58.96,88.14,39.74,96.59,57.59,89.91,37.64,96.61,63.81,60.84,5566954258.5385895,92152860.0,0.0311,-9.32,641900,0.96,61.19,-0.57,61.89,-1.7,60.29,0.91,2.79,15.31,769520,671520,696580,0.058
2968,VRCA,Healthcare,Biotechnology,NASDAQ,89.45,49.06,82.3,17.52,122.31,82.3,93.68,52.19,99.85,57.75,67.05,17.62,5.59,107710994.16234064,17178787.0,0.0659,-43.08,50300,0.52,7.13,-21.6,6.84,-18.27,6.12,-8.66,12.61,4.25,128100,96770,109532,0.461
